Les pommes duchesse,170,4,24,7
Liebig Soupe Thaï en brique,46,0.8,4,2.7
Lima lait végétal "rice drink noisette-amande",81,0.7,10.7,3.9
Limo Granini,37,0.5,8.8,0
Limonade,38,0,10,0
Limonade freeway lemon (lidl),42,0,10.3,0
Lipton Ice Tea Brisk Fruits Rouges (Tea Dragon Fruit) (1 canette),126.5,0.5,30,0.5,1 canette
Lipton Ice Tea Brisk Fruits Rouges (Tea Dragon Fruit) (),33.7,0.5,6.8,0.5
Lipton Ice Tea Brisk Pomme (1 canette),130.5,0.5,31,0.5,1 canette
Lipton Ice Tea Brisk Pomme (),34.9,0.5,7.1,0.5
Lipton ice tea pêche,30,0,7.1,0
Lipton linea,1,0,0.2,0
Lipton thé caramel,4,0.5,0.5,0
Lipton thé vert façon Cupcake Fraise,4,0.5,0.5,0
L'instant fruit et légumes,72,2,15.1,0.4
Materne jus d'orange,47,0.6,11,0.1
Matin plaisir jus d'orange 100%,45,0.7,9.4,0.2
Milo canette ,149,4.8,24,3.8,1 canette
Mincidélice boisson hyperprotéiné chocolat,100,18,2.6,1.4,1 portion
Minute maid orange,46.8,0.7,11,0
Minute maid pomme,47,0.1,11,0
Multi fruits Marque repère Jafaden (Rom),44,0.2,10.7,0
Multi vitamines Andros,54,0.6,12,0.1
Multifruits & oméga 3 - leader price,51,0.7,12,0.1
Multifruits carrefour,58,0.5,13.1,0.2
Multifruits pur jus leader price,47,0.6,10.8,0.2
Multivitamines REA,45,0.2,10.6,0.1
Muscle low card (weider),47,8.2,2.8,0.3
Nectar 12 fruits (dia),20,0.2,4.4,0.04
Nectar 12 fruits 8 vitamines "cora",52,0.3,12.5,0.1
Nectar 13 fruits Dia,48,0.2,11.6,0.2
Nectar 15 fruits Casino,50,0.6,12,0
Nectar de banane Auchan,55,0.3,13.5,0
Nectar de banane casino,62,0.3,15,0.1
Nectar orange banane jafaden,44,0.3,10.3,0.1
Oasis light à l'orange,13,0.1,2.5,0
Oasis light orange,13,0.1,2.5,0
Oasis light tropical,9,0.1,1.8,1.01
Oasis orange sanguine/canneberge/grenade,48,0.2,23.6,0
Oasis oranges,44,0.1,10,0
Oasis pomme cassis framboise,43,0,10,0
Oasis pomme-poire,40,0,9.8,0
Oasis tropical,38,0,9.3,0
Océan spray - cranberry & framboise,50,0,12.1,0
Ocean spray - cranberry & myrtille,48,0,11.6,0
Pampryl, nectar d'orange,43,0.2,10.3,0.1
Paquito - douceur du matin,52,0.5,12,0.2
Pâte de miso,217.5,11.7,26.5,6
Pepsi,44,0,11,0
Pepsi max,0.5,0.1,0.1,0
Pepsi next,99,0,27.8,0,1 canette
Perfect shape,195,25,15,3,1 unité
Perrier,0,0,0,0
Perrier saveur citron ,sans sucres,0.3,0,0,0
Pineau des charentes,117,0,0,0
Pomme de terre,90,2,19,0
Pom'Potes Materne BIO,69,0.4,15,0.5
Pur jus multivitaminé casino,53,0.5,12.5,0
Pur jus orange mandarine raisin,230,0.5,13,0
Ricoré,91,3.3,18.7,0.2
Ricoré au lait,81,2.8,9.5,3.1,1 part
Ricoré nestlé (janv 09),91,3.3,18.7,0.2
Schweppes agrum'light,1.9,0,0.2,0
Schweppes fruits rouges et cramberry light,1.2,0,0.1,0
Schweppes noix de coco,29,0,7,0
Seattle Latte de Starbucks,154,6.16,20.02,5.72,1 canette
Secrets de grand-mère knorr tomates, oignons, croutons,41,0.9,6.6,1.3
Senseo : cappuccino,60,1.5,7,3
Senseo café choco,34,0.9,4,1.5
Senséo chocobreak,60,0.8,10,17
Seven up light,0.2,0.1,0.1,0
Shark energy drink,146,0.1,35,0,1 canette
Sihouette active,45,3.95,5.25,1.15
Silhouette active,48,3.85,5.05,1.35
Sirop bigallet citron jinot,281,0,66.1,66
Sirop citron Plein sud,250,0,62,0.3
Sirop de cassis Casino,326,0.1,81,0.1
Sirop de cassis delhaize,342,0.1,80,0.1
Sirop de citron sport,264,0,63.8,0
Sirop de Fraise Grand Jury,356,0,88.9,0
Sirop de fruit de la passion auchan,304,0.1,76,0
Sirop de grenadine ( everyday ),278,0,69.4,0
Sirop de grenadine alléga en sucre,340,0.1,85,0.1
Soja douceur et calcium d'origine végétale** : bjorg,58,3.8,5.2,2.4
Tropicana orange,sanguine,citron,44,2,23,0
Tropicana pamplemousse rose pressé,40,0.6,8,0
Tropicana pommes douces,49,0.2,11.8,0.05
Tropicana pur premium ruby breakfast,45,0.8,9.7,0
Tropicana pure premium pamplemousse rose,39,0.5,7.6,0
Tropicana pure premium pulpissimo,47,0.8,10,0
Tropicana Pure Premium: Orange & Mangue,40,0.6,8.3,0.1
Tropicana réveil des tropiques,45,0.5,10.6,0
Vitafit jus d'orange 100 % teneur en fruit,40,0.7,8.3,0.03
Vitalday fruit & veggie,65,0,13,0
Vitamin water dragon fruit,19,0,4.6,0
Vittel fruits framboise-myrtille,16,0,4,0
Vittel fruits orange-pamplemousse,14,0,3.7,0
Vittel fruits pomme-poire,16,0,4,0
Vittel grande source,0,0,0,0
Vittel hydratation et énergie,22,0,5.5,0
